genres,tags,app_name,item_id,combinacion
"[Adventure, Free to Play, Massively Multiplayer, RPG]","Free to Play, Dragons, Adventure, Multiplayer, Massively Multiplayer, RPG, Open World, MMORPG, Family Friendly, Fantasy, Action, Online Co-Op, Singleplayer, Simulation, Co-op, First-Person, Survival, PvP, Funny, Atmospheric",School of Dragons,332070,"[Adventure, Free to Play, Massively Multiplayer, RPG] Free to Play, Dragons, Adventure, Multiplayer, Massively Multiplayer, RPG, Open World, MMORPG, Family Friendly, Fantasy, Action, Online Co-Op, Singleplayer, Simulation, Co-op, First-Person, Survival, PvP, Funny, Atmospheric School of Dragons"
[360 Video],360 Video,Steam 360 Video Player,613220,[360 Video] 360 Video Steam 360 Video Player
"[Movie, Horror]","Movie, Horror",Parasite,464190,"[Movie, Horror] Movie, Horror Parasite"
"[Casual, Simulation, Strategy]","Casual, Strategy, Simulation, Adventure, Indie, Relaxing, Atmospheric, Cute",MOAI: Build Your Dream,338980,"[Casual, Simulation, Strategy] Casual, Strategy, Simulation, Adventure, Indie, Relaxing, Atmospheric, Cute MOAI: Build Your Dream"
"[Adventure, Casual]","Family Friendly, Point & Click, Casual, Adventure, Psychological Horror",Putt-Putt®: Pep's Birthday Surprise,294700,"[Adventure, Casual] Family Friendly, Point & Click, Casual, Adventure, Psychological Horror Putt-Putt®: Pep's Birthday Surprise"
[Simulation],Simulation,FSX: Steam Edition - RAAS Professional Add-On,356960,[Simulation] Simulation FSX: Steam Edition - RAAS Professional Add-On
[Action],Action,Street Fighter X Tekken: Street Fighter Swap Costume Complete Pack,210068,[Action] Action Street Fighter X Tekken: Street Fighter Swap Costume Complete Pack
"[Action, Indie]","Action, Indie, Soundtrack",Shatter: Official Videogame Soundtrack,20828,"[Action, Indie] Action, Indie, Soundtrack Shatter: Official Videogame Soundtrack"
"[Indie, RPG]","Indie, RPG, Loot, JRPG, Retro, Crafting",Macabre,384950,"[Indie, RPG] Indie, RPG, Loot, JRPG, Retro, Crafting Macabre"
"[Adventure, Indie]","Adventure, Indie","J.U.L.I.A.:Among the Stars - Soundtrack, Hintbook, Untold",360340,"[Adventure, Indie] Adventure, Indie J.U.L.I.A.:Among the Stars - Soundtrack, Hintbook, Untold"
"[Casual, Indie]","Casual, Indie, Platformer",Sally's Law,512230,"[Casual, Indie] Casual, Indie, Platformer Sally's Law"
"[Indie, RPG, Simulation, Strategy]","RPG, Strategy, Indie, Simulation, Horror",Fear Equation,428350,"[Indie, RPG, Simulation, Strategy] RPG, Strategy, Indie, Simulation, Horror Fear Equation"
"[Action, Casual, Sports, VR]","Action, Casual, Sports, VR",Hot Runback - VR Runner,721400,"[Action, Casual, Sports, VR] Action, Casual, Sports, VR Hot Runback - VR Runner"
[Action],"Action, ""Shoot Em Up"", Bullet Hell, Arcade, Shooter",Raiden V: Director's Cut | 雷電 V Director's Cut | 雷電V:導演剪輯版,570050,"[Action] Action, ""Shoot Em Up"", Bullet Hell, Arcade, Shooter Raiden V: Director's Cut | 雷電 V Director's Cut | 雷電V:導演剪輯版"
"[Action, Casual, Free to Play, Indie]","Free to Play, Casual, Action, Indie, Dinosaurs",Derpy Dinos,718500,"[Action, Casual, Free to Play, Indie] Free to Play, Casual, Action, Indie, Dinosaurs Derpy Dinos"
[Racing],Racing,Trials Fusion Season Pass,287330,[Racing] Racing Trials Fusion Season Pass
[Indie],"Indie, Physics",Momentum,462130,"[Indie] Indie, Physics Momentum"
"[Adventure, Indie, RPG]","RPG, Indie, Adventure, Turn-Based, Story Rich, Turn-Based Combat",The Dwarf Run,395420,"[Adventure, Indie, RPG] RPG, Indie, Adventure, Turn-Based, Story Rich, Turn-Based Combat The Dwarf Run"
[Simulation],Simulation,Train Simulator: DR BR 24 Loco Add-On,325972,[Simulation] Simulation Train Simulator: DR BR 24 Loco Add-On
"[Movie, Action]","Movie, Action",Crank 2: High Voltage,421280,"[Movie, Action] Movie, Action Crank 2: High Voltage"
"[Adventure, RPG, Strategy]","Strategy, Adventure, RPG",Agarest 2 - Bundle #2,343421,"[Adventure, RPG, Strategy] Strategy, Adventure, RPG Agarest 2 - Bundle #2"
"[Design & Illustration, Animation & Modeling, Casual, VR]","Design & Illustration, Animation & Modeling, Casual, VR",Strata inStudio VR,627530,"[Design & Illustration, Animation & Modeling, Casual, VR] Design & Illustration, Animation & Modeling, Casual, VR Strata inStudio VR"
"[Action, Adventure, Indie, RPG, Early Access]","Early Access, Violent, Gore, Action, Adventure, Indie, RPG, Survival Horror, Online Co-Op, Horror, Dark, Multiplayer, Zombies, Female Protagonist, Demons, Exploration, Atmospheric, Singleplayer, Difficult, Co-op",Outbreak: The New Nightmare,644480,"[Action, Adventure, Indie, RPG, Early Access] Early Access, Violent, Gore, Action, Adventure, Indie, RPG, Survival Horror, Online Co-Op, Horror, Dark, Multiplayer, Zombies, Female Protagonist, Demons, Exploration, Atmospheric, Singleplayer, Difficult, Co-op Outbreak: The New Nightmare"
"[Indie, RPG, Strategy]","Strategy, RPG, Indie",Fantasy Grounds - Mini-Dungeon Collection: Hobgoblin Lair (5E),544900,"[Indie, RPG, Strategy] Strategy, RPG, Indie Fantasy Grounds - Mini-Dungeon Collection: Hobgoblin Lair (5E)"
"[Adventure, Casual, Indie, Racing, Simulation, Sports]","Adventure, Indie, Casual, Simulation, Racing, Sports",CrazyCar - Images and Music,764950,"[Adventure, Casual, Indie, Racing, Simulation, Sports] Adventure, Indie, Casual, Simulation, Racing, Sports CrazyCar - Images and Music"
"[Indie, RPG, Strategy]","Strategy, RPG, Indie",Fantasy Grounds - 1 on 1 Adventures #12: Journey into Riddle Canyon (PFRPG),548190,"[Indie, RPG, Strategy] Strategy, RPG, Indie Fantasy Grounds - 1 on 1 Adventures #12: Journey into Riddle Canyon (PFRPG)"
"[Casual, Free to Play, Simulation, Sports]","Free to Play, Casual, Simulation, Sports",Zaccaria Pinball - Space Shuttle Table,478044,"[Casual, Free to Play, Simulation, Sports] Free to Play, Casual, Simulation, Sports Zaccaria Pinball - Space Shuttle Table"
"[Indie, RPG]","RPG, Indie, Visual Novel",Loren The Amazon Princess - The Castle Of N'Mar DLC,270700,"[Indie, RPG] RPG, Indie, Visual Novel Loren The Amazon Princess - The Castle Of N'Mar DLC"
[Strategy],Strategy,Wargame Red Dragon - Norse Dragons,348330,[Strategy] Strategy Wargame Red Dragon - Norse Dragons
[Utilities],Utilities,Wing Pro 6 Commercial Use Upgrade,621320,[Utilities] Utilities Wing Pro 6 Commercial Use Upgrade
"[Adventure, Free to Play, RPG, Strategy]","Strategy, Adventure, RPG, Free to Play",King's Bounty: Legions | Lord of Chaos Pack,264682,"[Adventure, Free to Play, RPG, Strategy] Strategy, Adventure, RPG, Free to Play King's Bounty: Legions | Lord of Chaos Pack"
"[Indie, RPG, Strategy]","Indie, RPG, Strategy, Party-Based RPG, Software, Online Co-Op, Fantasy, Utilities, Turn-Based, Story Rich",Fantasy Grounds - D&D Character Customization Pack,360091,"[Indie, RPG, Strategy] Indie, RPG, Strategy, Party-Based RPG, Software, Online Co-Op, Fantasy, Utilities, Turn-Based, Story Rich Fantasy Grounds - D&D Character Customization Pack"
"[Indie, Simulation, Strategy, Early Access]","Early Access, Simulation, Strategy, Indie, Sandbox, City Builder, Medieval",PlayFortress,459880,"[Indie, Simulation, Strategy, Early Access] Early Access, Simulation, Strategy, Indie, Sandbox, City Builder, Medieval PlayFortress"
"[Casual, Indie]","Indie, Casual, Puzzle, Arcade, Singleplayer, Turn-Based, Great Soundtrack, Funny, Relaxing, Pixel Graphics, Classic, Rogue-like, Puzzle-Platformer, Platformer, Fast-Paced, PvE",QUBIC,509000,"[Casual, Indie] Indie, Casual, Puzzle, Arcade, Singleplayer, Turn-Based, Great Soundtrack, Funny, Relaxing, Pixel Graphics, Classic, Rogue-like, Puzzle-Platformer, Platformer, Fast-Paced, PvE QUBIC"
[Simulation],Simulation,X-Plane 10 Global - 64 Bit - Africa Scenery,298620,[Simulation] Simulation X-Plane 10 Global - 64 Bit - Africa Scenery
"[Action, Adventure, Indie, RPG, Early Access]","Early Access, Action, RPG, Indie, Adventure",The HinterLands,454260,"[Action, Adventure, Indie, RPG, Early Access] Early Access, Action, RPG, Indie, Adventure The HinterLands"
"[Casual, Simulation]","Casual, Simulation",Rocksmith® 2014 – Radiohead - “Karma Police”,258381,"[Casual, Simulation] Casual, Simulation Rocksmith® 2014 – Radiohead - “Karma Police”"
"[Action, Indie]","Action, Indie, Shooter",Machine Gun Train Run,428530,"[Action, Indie] Action, Indie, Shooter Machine Gun Train Run"
"[Adventure, Free to Play, RPG, Strategy]","Strategy, Adventure, RPG, Free to Play",Epic Starter Bundle,551970,"[Adventure, Free to Play, RPG, Strategy] Strategy, Adventure, RPG, Free to Play Epic Starter Bundle"
"[Action, Indie]","Action, Indie, Side Scroller, Singleplayer",Call of Tomsk-7,390660,"[Action, Indie] Action, Indie, Side Scroller, Singleplayer Call of Tomsk-7"
"[Racing, Simulation, Sports]","Simulation, Racing, Sports",MX vs. ATV Supercross Encore - 2015 Honda CRF450R MX,430310,"[Racing, Simulation, Sports] Simulation, Racing, Sports MX vs. ATV Supercross Encore - 2015 Honda CRF450R MX"
[RPG],RPG,The Legend of Heroes: Trails of Cold Steel - Zeram Capsule Pack,605335,[RPG] RPG The Legend of Heroes: Trails of Cold Steel - Zeram Capsule Pack
"[Action, Casual, Indie]","Indie, Casual, Action",bob's game,529720,"[Action, Casual, Indie] Indie, Casual, Action bob's game"
"[Action, Indie]","Action, Indie",Rise High,545750,"[Action, Indie] Action, Indie Rise High"
"[Casual, Free to Play, Indie, Simulation]","Free to Play, Casual, Simulation, Indie, Singleplayer, Relaxing, Underwater, 2D, Sandbox",Among Ripples,341720,"[Casual, Free to Play, Indie, Simulation] Free to Play, Casual, Simulation, Indie, Singleplayer, Relaxing, Underwater, 2D, Sandbox Among Ripples"
[Strategy],Strategy,Nobunaga's Ambition: Souzou WPK - 10 New Face CG Set,386820,[Strategy] Strategy Nobunaga's Ambition: Souzou WPK - 10 New Face CG Set
"[Adventure, Indie]","Adventure, Indie, Sci-fi, Walking Simulator, Story Rich",Planet Ancyra Chronicles,324060,"[Adventure, Indie] Adventure, Indie, Sci-fi, Walking Simulator, Story Rich Planet Ancyra Chronicles"
[Simulation],Simulation,Professional Construction - The Simulation,502450,[Simulation] Simulation Professional Construction - The Simulation
"[Action, Adventure]","Action, Adventure",Raid Mode: Album Storage A,320386,"[Action, Adventure] Action, Adventure Raid Mode: Album Storage A"
"[Action, Adventure, Indie, RPG]","Indie, Action, Adventure, RPG",High Strangeness,268340,"[Action, Adventure, Indie, RPG] Indie, Action, Adventure, RPG High Strangeness"
"[Adventure, Indie]","Visual Novel, Female Protagonist, Otome, Indie, Adventure, Multiple Endings, Fantasy, Romance, Singleplayer, Anime, Story Rich, Mystery, Choices Matter",The Confines Of The Crown,356530,"[Adventure, Indie] Visual Novel, Female Protagonist, Otome, Indie, Adventure, Multiple Endings, Fantasy, Romance, Singleplayer, Anime, Story Rich, Mystery, Choices Matter The Confines Of The Crown"
"[Action, Casual, Free to Play, Indie, Massively Multiplayer]","Free to Play, Space, Building, Massively Multiplayer, Multiplayer, Action, Crafting, Sci-fi, Arena Shooter, Casual, Sandbox, Indie, Open World, RPG, Co-op, Shooter, MOBA, First-Person, Singleplayer",Galactic Junk League,562590,"[Action, Casual, Free to Play, Indie, Massively Multiplayer] Free to Play, Space, Building, Massively Multiplayer, Multiplayer, Action, Crafting, Sci-fi, Arena Shooter, Casual, Sandbox, Indie, Open World, RPG, Co-op, Shooter, MOBA, First-Person, Singleplayer Galactic Junk League"
[Action],"Action, Platformer, Classic, Retro, Great Soundtrack, 2D, Pixel Graphics, Singleplayer, Side Scroller, Difficult, Sci-fi, Remake, 1980s, Anime, Shooter",Mega Man Legacy Collection / ロックマン クラシックス コレクション,363440,"[Action] Action, Platformer, Classic, Retro, Great Soundtrack, 2D, Pixel Graphics, Singleplayer, Side Scroller, Difficult, Sci-fi, Remake, 1980s, Anime, Shooter Mega Man Legacy Collection / ロックマン クラシックス コレクション"
[Simulation],Simulation,FSX Steam Edition: Final Approach Add-On,500230,[Simulation] Simulation FSX Steam Edition: Final Approach Add-On
"[Casual, Simulation]","Casual, Simulation",Rocksmith® 2014 – Slash featuring Myles Kennedy and The Conspirators - “You’re a Lie”,294921,"[Casual, Simulation] Casual, Simulation Rocksmith® 2014 – Slash featuring Myles Kennedy and The Conspirators - “You’re a Lie”"
"[Indie, Strategy]","Strategy, Indie, Turn-Based Strategy, Turn-Based, Replay Value, Military",Afghanistan '11,580710,"[Indie, Strategy] Strategy, Indie, Turn-Based Strategy, Turn-Based, Replay Value, Military Afghanistan '11"
[Indie],Indie,The Last Birdling - Digital soundtrack,633331,[Indie] Indie The Last Birdling - Digital soundtrack
"[Adventure, Casual, Sports, VR]","Adventure, Casual, Sports, VR",Island Getaway,573280,"[Adventure, Casual, Sports, VR] Adventure, Casual, Sports, VR Island Getaway"
"[Indie, RPG, Strategy]","Strategy, RPG, Indie",Fantasy Grounds - Wellstone City (Savage Worlds),649720,"[Indie, RPG, Strategy] Strategy, RPG, Indie Fantasy Grounds - Wellstone City (Savage Worlds)"
"[Action, Indie, Strategy]","Strategy, Action, Indie",Death by Game Show - The Soundtrack,464180,"[Action, Indie, Strategy] Strategy, Action, Indie Death by Game Show - The Soundtrack"
[Action],Action,Marvel vs. Capcom: Infinite - Arthur Fallen Angel Armor Costume,721149,[Action] Action Marvel vs. Capcom: Infinite - Arthur Fallen Angel Armor Costume
"[Adventure, Indie]","Adventure, Indie",Cognition - Original Soundtrack Vol 2,316671,"[Adventure, Indie] Adventure, Indie Cognition - Original Soundtrack Vol 2"
"[Action, Casual, Indie]","Action, Indie, Casual",Tank Warz!,707950,"[Action, Casual, Indie] Action, Indie, Casual Tank Warz!"
"[Adventure, Casual]","Adventure, Casual, Hidden Object",Black Swan,560230,"[Adventure, Casual] Adventure, Casual, Hidden Object Black Swan"
"[Action, Adventure, Indie]","Co-op, Indie, Puzzle, Local Co-Op, Platformer, Adventure, Online Co-Op, Cute, Action, Multiplayer, Puzzle-Platformer, 2D, Great Soundtrack, Casual, Difficult, Family Friendly",ibb & obb,95400,"[Action, Adventure, Indie] Co-op, Indie, Puzzle, Local Co-Op, Platformer, Adventure, Online Co-Op, Cute, Action, Multiplayer, Puzzle-Platformer, 2D, Great Soundtrack, Casual, Difficult, Family Friendly ibb & obb"
"[Indie, Simulation, Strategy]","Indie, Simulation, Strategy",BusinessMan,677820,"[Indie, Simulation, Strategy] Indie, Simulation, Strategy BusinessMan"
[Action],Action,Street Fighter X Tekken: Ryu (Swap Costume),210030,[Action] Action Street Fighter X Tekken: Ryu (Swap Costume)
[Simulation],Simulation,X-Plane 10 AddOn - Aerosoft - CZST Stewart,339390,[Simulation] Simulation X-Plane 10 AddOn - Aerosoft - CZST Stewart
[Simulation],Simulation,Yu-Gi-Oh! ARC-V: Shay vs Dennis,523534,[Simulation] Simulation Yu-Gi-Oh! ARC-V: Shay vs Dennis
[Action],Action,Marvel vs. Capcom: Infinite - Doctor Strange Illuminati Costume,721112,[Action] Action Marvel vs. Capcom: Infinite - Doctor Strange Illuminati Costume
"[Action, Indie, Casual, VR]","Action, Indie, Casual, VR",WackIt,698570,"[Action, Indie, Casual, VR] Action, Indie, Casual, VR WackIt"
[Action],Action,"Red Orbs (300,000)",359497,"[Action] Action Red Orbs (300,000)"
"[Casual, Indie, Simulation]","Visual Novel, Simulation, Indie, Dating Sim, Casual, Anime, Romance, Singleplayer",Flower Shop: Summer In Fairbrook,290990,"[Casual, Indie, Simulation] Visual Novel, Simulation, Indie, Dating Sim, Casual, Anime, Romance, Singleplayer Flower Shop: Summer In Fairbrook"
"[Indie, RPG, Strategy]","Strategy, RPG, Indie",Fantasy Grounds - 5E Mini-Dungeon #021: Daenyr’s Return (5E),614280,"[Indie, RPG, Strategy] Strategy, RPG, Indie Fantasy Grounds - 5E Mini-Dungeon #021: Daenyr’s Return (5E)"
"[Indie, Racing, Simulation, Sports]","Indie, Simulation, Racing, Sports",Super Night Riders - Soundtrack and Art,445380,"[Indie, Racing, Simulation, Sports] Indie, Simulation, Racing, Sports Super Night Riders - Soundtrack and Art"
"[Adventure, Indie, VR, First-Person, Atmospheric, Puzzle, Singleplayer, Sci-fi, Walking Simulator]","Adventure, Indie, VR, First-Person, Atmospheric, Puzzle, Singleplayer, Sci-fi, Walking Simulator",Astral Domine,458990,"[Adventure, Indie, VR, First-Person, Atmospheric, Puzzle, Singleplayer, Sci-fi, Walking Simulator] Adventure, Indie, VR, First-Person, Atmospheric, Puzzle, Singleplayer, Sci-fi, Walking Simulator Astral Domine"
"[Indie, Simulation, Strategy]","Simulation, Strategy, Indie, Fantasy, Politics",Democracy 3 Africa,427470,"[Indie, Simulation, Strategy] Simulation, Strategy, Indie, Fantasy, Politics Democracy 3 Africa"
"[Anime, Episodic, Comedy, Dragons, Cute, Female Protagonist]","Anime, Episodic, Comedy, Dragons, Cute, Female Protagonist",Miss Kobayashi's Dragon Maid,640570,"[Anime, Episodic, Comedy, Dragons, Cute, Female Protagonist] Anime, Episodic, Comedy, Dragons, Cute, Female Protagonist Miss Kobayashi's Dragon Maid"
"[Action, Casual, Free to Play, Indie]","Free to Play, Action, Indie, Casual",Lunarsea,661830,"[Action, Casual, Free to Play, Indie] Free to Play, Action, Indie, Casual Lunarsea"
"[Action, Indie, Strategy]","Strategy, Action, Indie",C.R.E.E.P.S,387400,"[Action, Indie, Strategy] Strategy, Action, Indie C.R.E.E.P.S"
"[Adventure, Indie, RPG]","Adventure, RPG, Indie",Unrest: Special Edition Extras,301720,"[Adventure, Indie, RPG] Adventure, RPG, Indie Unrest: Special Edition Extras"
"[Strategy, Early Access]","Early Access, Strategy",The market trader,699370,"[Strategy, Early Access] Early Access, Strategy The market trader"
[Racing],Racing,Paint Scheme Pack 4,539060,[Racing] Racing Paint Scheme Pack 4
"[Adventure, Free to Play, Indie]","Adventure, Free to Play, Indie",K'NOSSOS,696770,"[Adventure, Free to Play, Indie] Adventure, Free to Play, Indie K'NOSSOS"
"[Adventure, Indie, VR]","Adventure, Indie, VR",Fragments,733420,"[Adventure, Indie, VR] Adventure, Indie, VR Fragments"
[Movie],Movie,Brian Posehn: The Fartist,578550,[Movie] Movie Brian Posehn: The Fartist
"[Indie, Racing, Simulation, Sports]","Racing, Indie, Sports, Simulation",SHOFER Race Driver,367700,"[Indie, Racing, Simulation, Sports] Racing, Indie, Sports, Simulation SHOFER Race Driver"
[Action],Action,Fate/EXTELLA - Young Lancer,626543,[Action] Action Fate/EXTELLA - Young Lancer
"[Adventure, Indie]","Indie, Pixel Graphics, Choices Matter, Episodic, Point & Click, Adventure, Great Soundtrack, Story Rich, Free to Play, Female Protagonist, Visual Novel, Atmospheric, Music, Singleplayer",The Lion's Song: Episode 1 - Silence,437160,"[Adventure, Indie] Indie, Pixel Graphics, Choices Matter, Episodic, Point & Click, Adventure, Great Soundtrack, Story Rich, Free to Play, Female Protagonist, Visual Novel, Atmospheric, Music, Singleplayer The Lion's Song: Episode 1 - Silence"
"[Action, Adventure, Casual, Free to Play, Indie, RPG]","Indie, Casual, Adventure, RPG, Action, Free to Play, Simulation, Strategy, Story Rich, Sci-fi",johnsgame,597240,"[Action, Adventure, Casual, Free to Play, Indie, RPG] Indie, Casual, Adventure, RPG, Action, Free to Play, Simulation, Strategy, Story Rich, Sci-fi johnsgame"
"[Action, Indie]","Action, Indie",InsanZ - Dr.Test,372170,"[Action, Indie] Action, Indie InsanZ - Dr.Test"
"[Action, Casual, Indie]","Action, Indie, Casual",Jumphobia XL,703200,"[Action, Casual, Indie] Action, Indie, Casual Jumphobia XL"
"[Adventure, Casual]","Casual, Adventure, Hidden Object",Dream Catcher Chronicles: Manitou,432780,"[Adventure, Casual] Casual, Adventure, Hidden Object Dream Catcher Chronicles: Manitou"
"[Action, Adventure, Indie]","Action, Adventure, Indie",The Growth Journey,416610,"[Action, Adventure, Indie] Action, Adventure, Indie The Growth Journey"
[Simulation],Simulation,TANE DLC: Southern Pacific GE CW44-9,404981,[Simulation] Simulation TANE DLC: Southern Pacific GE CW44-9
"[Sports, Action, Casual, VR]","Sports, Action, Casual, VR",Cyberpong,462000,"[Sports, Action, Casual, VR] Sports, Action, Casual, VR Cyberpong"
[Action],Action,Killing Floor - Community Weapon Pack,210934,[Action] Action Killing Floor - Community Weapon Pack
[Video Production],Video Production,VEGAS Movie Studio 14 Platinum Steam Edition,523120,[Video Production] Video Production VEGAS Movie Studio 14 Platinum Steam Edition
"[Design & Illustration, Tutorial]","Design & Illustration, Tutorial",Robotpencil Presents: Insight: How to Study Better,635130,"[Design & Illustration, Tutorial] Design & Illustration, Tutorial Robotpencil Presents: Insight: How to Study Better"
"[Action, Adventure, RPG]","Adventure, Action, RPG, Violent, Survival",Tom Clancy’s The Division™ - Survival,556470,"[Action, Adventure, RPG] Adventure, Action, RPG, Violent, Survival Tom Clancy’s The Division™ - Survival"
"[Action, Adventure, Simulation, Early Access]","Early Access, Action, Simulation, Adventure",Fapic,679070,"[Action, Adventure, Simulation, Early Access] Early Access, Action, Simulation, Adventure Fapic"
"[Movie, Drama, Crime, Action, Based On A Novel, Thriller]","Movie, Drama, Crime, Action, Based On A Novel, Thriller",Alex Cross,446710,"[Movie, Drama, Crime, Action, Based On A Novel, Thriller] Movie, Drama, Crime, Action, Based On A Novel, Thriller Alex Cross"
[Simulation],Simulation,Train Simulator: Sacramento Northern: Suisun Bay – San Francisco Route Add-On,376979,[Simulation] Simulation Train Simulator: Sacramento Northern: Suisun Bay – San Francisco Route Add-On
"[Action, Free to Play]","Free to Play, FPS, Action, Multiplayer, Shooter, Military, Tactical, First-Person, America, Singleplayer, Open World, Simulation, Co-op, War, Strategy, Realistic, Massively Multiplayer, Survival, Adventure, Atmospheric",America's Army: Proving Grounds,203290,"[Action, Free to Play] Free to Play, FPS, Action, Multiplayer, Shooter, Military, Tactical, First-Person, America, Singleplayer, Open World, Simulation, Co-op, War, Strategy, Realistic, Massively Multiplayer, Survival, Adventure, Atmospheric America's Army: Proving Grounds"
[Action],Action,Resident Evil: Operation Raccoon City - Elite Weapons Pack,210017,[Action] Action Resident Evil: Operation Raccoon City - Elite Weapons Pack
"[Strategy, Action, Casual, Simulation, VR]","Strategy, Action, Casual, Simulation, VR",Clash of Vessels VR,593970,"[Strategy, Action, Casual, Simulation, VR] Strategy, Action, Casual, Simulation, VR Clash of Vessels VR"
"[Design & Illustration, Tutorial]","Design & Illustration, Tutorial",Robotpencil Presents: Rapid Designing,765660,"[Design & Illustration, Tutorial] Design & Illustration, Tutorial Robotpencil Presents: Rapid Designing"
[Action],Action,Aliens: Colonial Marines: Season Pass,224840,[Action] Action Aliens: Colonial Marines: Season Pass
"[Action, Adventure, Massively Multiplayer, Racing, Simulation]","Massively Multiplayer, Action, Racing, Adventure, Simulation",Block Robot Mini Survival Game,656730,"[Action, Adventure, Massively Multiplayer, Racing, Simulation] Massively Multiplayer, Action, Racing, Adventure, Simulation Block Robot Mini Survival Game"
"[Action, Simulation]","Action, Simulation","Damage Inc F6F-5N ""Crusader"" Hellcat",215431,"[Action, Simulation] Action, Simulation Damage Inc F6F-5N ""Crusader"" Hellcat"
"[Indie, RPG, Strategy]","Strategy, RPG, Indie",Fantasy Grounds - Beasts & Barbarians: Garden of Death (Savage Worlds),608140,"[Indie, RPG, Strategy] Strategy, RPG, Indie Fantasy Grounds - Beasts & Barbarians: Garden of Death (Savage Worlds)"
"[Casual, Simulation]","Casual, Simulation",Rocksmith® 2014 Edition – Remastered – Classic Riff Song Pack,590177,"[Casual, Simulation] Casual, Simulation Rocksmith® 2014 Edition – Remastered – Classic Riff Song Pack"
"[Adventure, Casual, Free to Play, Indie]","Adventure, Free to Play, Indie, Casual",Tales of Escape - Sleepy Hollow VR,747040,"[Adventure, Casual, Free to Play, Indie] Adventure, Free to Play, Indie, Casual Tales of Escape - Sleepy Hollow VR"
"[Adventure, Casual, Indie, Simulation, Early Access]","Early Access, Casual, Indie, Adventure, Simulation",ISEE,672360,"[Adventure, Casual, Indie, Simulation, Early Access] Early Access, Casual, Indie, Adventure, Simulation ISEE"
"[Indie, Simulation, Action, VR]","Indie, Simulation, Action, VR",HVR,509140,"[Indie, Simulation, Action, VR] Indie, Simulation, Action, VR HVR"
"[Casual, Indie, Strategy]","Strategy, Indie, Casual",Rival Books of Aster - Grimoirum Verum Starter Deck,639261,"[Casual, Indie, Strategy] Strategy, Indie, Casual Rival Books of Aster - Grimoirum Verum Starter Deck"
"[Early Access, Indie, Action, RPG]","Early Access, Indie, Action, RPG",Push For Emor,485240,"[Early Access, Indie, Action, RPG] Early Access, Indie, Action, RPG Push For Emor"
"[Action, Casual, Indie]","Action, Indie, Casual",Intergalactic traveler: The Omega Sector,752080,"[Action, Casual, Indie] Action, Indie, Casual Intergalactic traveler: The Omega Sector"
"[Adventure, Casual, Indie, Strategy]","Strategy, Casual, Tower Defense, Indie, Adventure",Fort Defense,343930,"[Adventure, Casual, Indie, Strategy] Strategy, Casual, Tower Defense, Indie, Adventure Fort Defense"
